	Sentence_A	Sentence_B	origin	frequency	freq_cat	pair_id	rating_anticonic_causal	rating_iconic_causal	rating_anticonic_temporal	rating_iconic_temporal	human_preferred_connective	human_preferred_connective_desc	human_preferred_connective_unrel	relation_human	order_human	condition_human	additional_dimension	connected_sent	tested_order	tested_relation	tested_connective
1793	The terrorists asked a woman to make herself explode.	The terrorists planned a suicide attack.	origin	0	1_rare	56	8.0	4.866666666666666	5.866666666666666	3.733333333333333	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	The terrorists asked a woman to make herself explode, after the terrorists planned a suicide attack.	B,A	Temporal	after
1794	The terrorists asked a woman to make herself explode.	The terrorists planned a suicide attack.	origin	0	1_rare	56	8.0	4.866666666666666	5.866666666666666	3.733333333333333	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	The terrorists asked a woman to make herself explode, then the terrorists planned a suicide attack.	A,B	Temporal	then
1795	The terrorists asked a woman to make herself explode.	The terrorists planned a suicide attack.	origin	0	1_rare	56	8.0	4.866666666666666	5.866666666666666	3.733333333333333	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	The terrorists asked a woman to make herself explode, because the terrorists planned a suicide attack.	B,A	Causal	because
1808	The terrorists planned a suicide attack.	The terrorists asked a woman to make herself explode.	origin	0	1_rare	56	5.466666666666667	6.8	3.466666666666667	6.4	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	The terrorists planned a suicide attack, then the terrorists asked a woman to make herself explode.	A,B	Temporal	then
1809	The terrorists planned a suicide attack.	The terrorists asked a woman to make herself explode.	origin	0	1_rare	56	5.466666666666667	6.8	3.466666666666667	6.4	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	The terrorists planned a suicide attack, after the terrorists asked a woman to make herself explode.	B,A	Temporal	after
1810	The terrorists planned a suicide attack.	The terrorists asked a woman to make herself explode.	origin	0	1_rare	56	5.466666666666667	6.8	3.466666666666667	6.4	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	The terrorists planned a suicide attack, because the terrorists asked a woman to make herself explode.	B,A	Causal	because
1811	The terrorists planned a suicide attack.	The terrorists asked a woman to make herself explode.	origin	0	1_rare	56	5.466666666666667	6.8	3.466666666666667	6.4	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	The terrorists planned a suicide attack, so the terrorists asked a woman to make herself explode.	A,B	Causal	so
1824	Alex changes his smartphone every three months.	Alex is rich.	origin	1	1_rare	57	8.866666666666667	6.2	2.0	3.466666666666667	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Alex changes his smartphone every three months, because Alex is rich.	B,A	Causal	because
1825	Alex changes his smartphone every three months.	Alex is rich.	origin	1	1_rare	57	8.866666666666667	6.2	2.0	3.466666666666667	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Alex changes his smartphone every three months, then Alex is rich.	A,B	Temporal	then
1826	Alex changes his smartphone every three months.	Alex is rich.	origin	1	1_rare	57	8.866666666666667	6.2	2.0	3.466666666666667	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Alex changes his smartphone every three months, so Alex is rich.	A,B	Causal	so
1827	Alex changes his smartphone every three months.	Alex is rich.	origin	1	1_rare	57	8.866666666666667	6.2	2.0	3.466666666666667	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Alex changes his smartphone every three months, after Alex is rich.	B,A	Temporal	after
1840	Alex is rich.	Alex changes his smartphone every three months.	origin	0	1_rare	57	3.466666666666667	9.266666666666667	2.2	4.0	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Alex is rich, so Alex changes his smartphone every three months.	A,B	Causal	so
1841	Alex is rich.	Alex changes his smartphone every three months.	origin	0	1_rare	57	3.466666666666667	9.266666666666667	2.2	4.0	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Alex is rich, because Alex changes his smartphone every three months.	B,A	Causal	because
1842	Alex is rich.	Alex changes his smartphone every three months.	origin	0	1_rare	57	3.466666666666667	9.266666666666667	2.2	4.0	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Alex is rich, after Alex changes his smartphone every three months.	B,A	Temporal	after
1843	Alex is rich.	Alex changes his smartphone every three months.	origin	0	1_rare	57	3.466666666666667	9.266666666666667	2.2	4.0	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Alex is rich, then Alex changes his smartphone every three months.	A,B	Temporal	then
1856	The referee whistled for the foul.	The ultras insult the referee.	origin	0	1_rare	58	4.066666666666666	7.0	5.4	5.533333333333333	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	The referee whistled for the foul, then the ultras insult the referee.	A,B	Temporal	then
1857	The referee whistled for the foul.	The ultras insult the referee.	origin	0	1_rare	58	4.066666666666666	7.0	5.4	5.533333333333333	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	The referee whistled for the foul, after the ultras insult the referee.	B,A	Temporal	after
1858	The referee whistled for the foul.	The ultras insult the referee.	origin	0	1_rare	58	4.066666666666666	7.0	5.4	5.533333333333333	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	The referee whistled for the foul, because the ultras insult the referee.	B,A	Causal	because
1859	The referee whistled for the foul.	The ultras insult the referee.	origin	0	1_rare	58	4.066666666666666	7.0	5.4	5.533333333333333	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	The referee whistled for the foul, so the ultras insult the referee.	A,B	Causal	so
1872	The ultras insult the referee.	The referee whistled for the foul.	origin	0	1_rare	58	7.866666666666666	6.133333333333334	8.6	7.0	after	anticonic_temp	after	Temporal	B,A	Temporal-B,A	socially_challenging	The ultras insult the referee, because the referee whistled for the foul.	B,A	Causal	because
1873	The ultras insult the referee.	The referee whistled for the foul.	origin	0	1_rare	58	7.866666666666666	6.133333333333334	8.6	7.0	after	anticonic_temp	after	Temporal	B,A	Temporal-B,A	socially_challenging	The ultras insult the referee, after the referee whistled for the foul.	B,A	Temporal	after
1874	The ultras insult the referee.	The referee whistled for the foul.	origin	0	1_rare	58	7.866666666666666	6.133333333333334	8.6	7.0	after	anticonic_temp	after	Temporal	B,A	Temporal-B,A	socially_challenging	The ultras insult the referee, then the referee whistled for the foul.	A,B	Temporal	then
1875	The ultras insult the referee.	The referee whistled for the foul.	origin	0	1_rare	58	7.866666666666666	6.133333333333334	8.6	7.0	after	anticonic_temp	after	Temporal	B,A	Temporal-B,A	socially_challenging	The ultras insult the referee, so the referee whistled for the foul.	A,B	Causal	so
1888	The boxing player needed money.	The player fixed the boxing match.	origin	173	3_common	59	4.133333333333334	8.866666666666667	3.933333333333333	5.8	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	The boxing player needed money, because the player fixed the boxing match.	B,A	Causal	because
1889	The boxing player needed money.	The player fixed the boxing match.	origin	173	3_common	59	4.133333333333334	8.866666666666667	3.933333333333333	5.8	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	The boxing player needed money, so the player fixed the boxing match.	A,B	Causal	so
1890	The boxing player needed money.	The player fixed the boxing match.	origin	173	3_common	59	4.133333333333334	8.866666666666667	3.933333333333333	5.8	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	The boxing player needed money, then the player fixed the boxing match.	A,B	Temporal	then
1891	The boxing player needed money.	The player fixed the boxing match.	origin	173	3_common	59	4.133333333333334	8.866666666666667	3.933333333333333	5.8	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	The boxing player needed money, after the player fixed the boxing match.	B,A	Temporal	after
1904	The player fixed the boxing match.	The boxing player needed money.	origin	95	3_common	59	8.2	2.8	5.066666666666666	2.533333333333333	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	The player fixed the boxing match, so the boxing player needed money.	A,B	Causal	so
1905	The player fixed the boxing match.	The boxing player needed money.	origin	95	3_common	59	8.2	2.8	5.066666666666666	2.533333333333333	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	The player fixed the boxing match, then the boxing player needed money.	A,B	Temporal	then
1906	The player fixed the boxing match.	The boxing player needed money.	origin	95	3_common	59	8.2	2.8	5.066666666666666	2.533333333333333	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	The player fixed the boxing match, after the boxing player needed money.	B,A	Temporal	after
1907	The player fixed the boxing match.	The boxing player needed money.	origin	95	3_common	59	8.2	2.8	5.066666666666666	2.533333333333333	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	The player fixed the boxing match, because the boxing player needed money.	B,A	Causal	because
1920	Karl did not have money for lunch.	Karl stole a sandwich from the supermarket.	origin	1000	4_frequent	60	1.8666666666666667	9.4	4.6	6.333333333333333	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Karl did not have money for lunch, because Karl stole a sandwich from the supermarket.	B,A	Causal	because
1921	Karl did not have money for lunch.	Karl stole a sandwich from the supermarket.	origin	1000	4_frequent	60	1.8666666666666667	9.4	4.6	6.333333333333333	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Karl did not have money for lunch, then Karl stole a sandwich from the supermarket.	A,B	Temporal	then
1922	Karl did not have money for lunch.	Karl stole a sandwich from the supermarket.	origin	1000	4_frequent	60	1.8666666666666667	9.4	4.6	6.333333333333333	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Karl did not have money for lunch, after Karl stole a sandwich from the supermarket.	B,A	Temporal	after
1923	Karl did not have money for lunch.	Karl stole a sandwich from the supermarket.	origin	1000	4_frequent	60	1.8666666666666667	9.4	4.6	6.333333333333333	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Karl did not have money for lunch, so Karl stole a sandwich from the supermarket.	A,B	Causal	so
1936	Karl stole a sandwich from the supermarket.	Karl did not have money for lunch.	origin	1027	4_frequent	60	9.0	3.2666666666666666	4.6	2.7333333333333334	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Karl stole a sandwich from the supermarket, so Karl did not have money for lunch.	A,B	Causal	so
1937	Karl stole a sandwich from the supermarket.	Karl did not have money for lunch.	origin	1027	4_frequent	60	9.0	3.2666666666666666	4.6	2.7333333333333334	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Karl stole a sandwich from the supermarket, because Karl did not have money for lunch.	B,A	Causal	because
1938	Karl stole a sandwich from the supermarket.	Karl did not have money for lunch.	origin	1027	4_frequent	60	9.0	3.2666666666666666	4.6	2.7333333333333334	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Karl stole a sandwich from the supermarket, then Karl did not have money for lunch.	A,B	Temporal	then
1939	Karl stole a sandwich from the supermarket.	Karl did not have money for lunch.	origin	1027	4_frequent	60	9.0	3.2666666666666666	4.6	2.7333333333333334	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Karl stole a sandwich from the supermarket, after Karl did not have money for lunch.	B,A	Temporal	after
1952	Karl does not do his homework.	Karl forces his classmate to pass him the homework every day.	origin	0	1_rare	61	6.733333333333333	9.066666666666666	4.533333333333333	7.666666666666667	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Karl does not do his homework, so Karl forces his classmate to pass him the homework every day.	A,B	Causal	so
1953	Karl does not do his homework.	Karl forces his classmate to pass him the homework every day.	origin	0	1_rare	61	6.733333333333333	9.066666666666666	4.533333333333333	7.666666666666667	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Karl does not do his homework, then Karl forces his classmate to pass him the homework every day.	A,B	Temporal	then
1954	Karl does not do his homework.	Karl forces his classmate to pass him the homework every day.	origin	0	1_rare	61	6.733333333333333	9.066666666666666	4.533333333333333	7.666666666666667	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Karl does not do his homework, after Karl forces his classmate to pass him the homework every day.	B,A	Temporal	after
1955	Karl does not do his homework.	Karl forces his classmate to pass him the homework every day.	origin	0	1_rare	61	6.733333333333333	9.066666666666666	4.533333333333333	7.666666666666667	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Karl does not do his homework, because Karl forces his classmate to pass him the homework every day.	B,A	Causal	because
1968	Karl forces his classmate to pass him the homework every day.	Karl does not do his homework.	origin	0	1_rare	61	7.266666666666667	4.866666666666666	4.933333333333334	3.466666666666667	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Karl forces his classmate to pass him the homework every day, then Karl does not do his homework.	A,B	Temporal	then
1969	Karl forces his classmate to pass him the homework every day.	Karl does not do his homework.	origin	0	1_rare	61	7.266666666666667	4.866666666666666	4.933333333333334	3.466666666666667	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Karl forces his classmate to pass him the homework every day, so Karl does not do his homework.	A,B	Causal	so
1970	Karl forces his classmate to pass him the homework every day.	Karl does not do his homework.	origin	0	1_rare	61	7.266666666666667	4.866666666666666	4.933333333333334	3.466666666666667	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Karl forces his classmate to pass him the homework every day, after Karl does not do his homework.	B,A	Temporal	after
1971	Karl forces his classmate to pass him the homework every day.	Karl does not do his homework.	origin	0	1_rare	61	7.266666666666667	4.866666666666666	4.933333333333334	3.466666666666667	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Karl forces his classmate to pass him the homework every day, because Karl does not do his homework.	B,A	Causal	because
1984	Mike is bullied at school.	Mike is fat.	origin	0	1_rare	62	8.666666666666666	1.8666666666666667	1.6666666666666667	1.7333333333333334	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Mike is bullied at school, because Mike is fat.	B,A	Causal	because
1985	Mike is bullied at school.	Mike is fat.	origin	0	1_rare	62	8.666666666666666	1.8666666666666667	1.6666666666666667	1.7333333333333334	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Mike is bullied at school, after Mike is fat.	B,A	Temporal	after
1986	Mike is bullied at school.	Mike is fat.	origin	0	1_rare	62	8.666666666666666	1.8666666666666667	1.6666666666666667	1.7333333333333334	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Mike is bullied at school, so Mike is fat.	A,B	Causal	so
1987	Mike is bullied at school.	Mike is fat.	origin	0	1_rare	62	8.666666666666666	1.8666666666666667	1.6666666666666667	1.7333333333333334	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Mike is bullied at school, then Mike is fat.	A,B	Temporal	then
2000	Mike is fat.	Mike is bullied at school.	origin	1	1_rare	62	2.533333333333333	7.2	2.1333333333333333	3.933333333333333	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Mike is fat, after Mike is bullied at school.	B,A	Temporal	after
2001	Mike is fat.	Mike is bullied at school.	origin	1	1_rare	62	2.533333333333333	7.2	2.1333333333333333	3.933333333333333	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Mike is fat, because Mike is bullied at school.	B,A	Causal	because
2002	Mike is fat.	Mike is bullied at school.	origin	1	1_rare	62	2.533333333333333	7.2	2.1333333333333333	3.933333333333333	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Mike is fat, so Mike is bullied at school.	A,B	Causal	so
2003	Mike is fat.	Mike is bullied at school.	origin	1	1_rare	62	2.533333333333333	7.2	2.1333333333333333	3.933333333333333	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Mike is fat, then Mike is bullied at school.	A,B	Temporal	then
2016	Kevin does not like dogs.	Kevin throws rocks at dogs when he sees them.	origin	0	1_rare	63	3.6666666666666665	8.266666666666667	2.8	2.933333333333333	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Kevin does not like dogs, because Kevin throws rocks at dogs when he sees them.	B,A	Causal	because
2017	Kevin does not like dogs.	Kevin throws rocks at dogs when he sees them.	origin	0	1_rare	63	3.6666666666666665	8.266666666666667	2.8	2.933333333333333	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Kevin does not like dogs, so Kevin throws rocks at dogs when he sees them.	A,B	Causal	so
2018	Kevin does not like dogs.	Kevin throws rocks at dogs when he sees them.	origin	0	1_rare	63	3.6666666666666665	8.266666666666667	2.8	2.933333333333333	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Kevin does not like dogs, after Kevin throws rocks at dogs when he sees them.	B,A	Temporal	after
2019	Kevin does not like dogs.	Kevin throws rocks at dogs when he sees them.	origin	0	1_rare	63	3.6666666666666665	8.266666666666667	2.8	2.933333333333333	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Kevin does not like dogs, then Kevin throws rocks at dogs when he sees them.	A,B	Temporal	then
2032	Kevin throws rocks at dogs when he sees them.	Kevin does not like dogs.	origin	0	1_rare	63	9.2	6.666666666666667	2.7333333333333334	3.6	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Kevin throws rocks at dogs when he sees them, then Kevin does not like dogs.	A,B	Temporal	then
2033	Kevin throws rocks at dogs when he sees them.	Kevin does not like dogs.	origin	0	1_rare	63	9.2	6.666666666666667	2.7333333333333334	3.6	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Kevin throws rocks at dogs when he sees them, so Kevin does not like dogs.	A,B	Causal	so
2034	Kevin throws rocks at dogs when he sees them.	Kevin does not like dogs.	origin	0	1_rare	63	9.2	6.666666666666667	2.7333333333333334	3.6	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Kevin throws rocks at dogs when he sees them, because Kevin does not like dogs.	B,A	Causal	because
2035	Kevin throws rocks at dogs when he sees them.	Kevin does not like dogs.	origin	0	1_rare	63	9.2	6.666666666666667	2.7333333333333334	3.6	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Kevin throws rocks at dogs when he sees them, after Kevin does not like dogs.	B,A	Temporal	after
2048	Mark got Lucy pregnant but he does not want a baby.	Mark will not legitimize Lucy's child.	origin	0	1_rare	64	2.933333333333333	8.2	3.6666666666666665	3.066666666666667	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Mark got Lucy pregnant but he does not want a baby, then Mark will not legitimize Lucy's child.	A,B	Temporal	then
2049	Mark got Lucy pregnant but he does not want a baby.	Mark will not legitimize Lucy's child.	origin	0	1_rare	64	2.933333333333333	8.2	3.6666666666666665	3.066666666666667	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Mark got Lucy pregnant but he does not want a baby, because Mark will not legitimize Lucy's child.	B,A	Causal	because
2050	Mark got Lucy pregnant but he does not want a baby.	Mark will not legitimize Lucy's child.	origin	0	1_rare	64	2.933333333333333	8.2	3.6666666666666665	3.066666666666667	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Mark got Lucy pregnant but he does not want a baby, after Mark will not legitimize Lucy's child.	B,A	Temporal	after
2051	Mark got Lucy pregnant but he does not want a baby.	Mark will not legitimize Lucy's child.	origin	0	1_rare	64	2.933333333333333	8.2	3.6666666666666665	3.066666666666667	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Mark got Lucy pregnant but he does not want a baby, so Mark will not legitimize Lucy's child.	A,B	Causal	so
2064	Mark will not legitimize Lucy's child.	Mark got Lucy pregnant but he does not want a baby.	origin	0	1_rare	64	7.6	4.066666666666666	6.066666666666666	1.6666666666666667	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Mark will not legitimize Lucy's child, because Mark got Lucy pregnant but he does not want a baby.	B,A	Causal	because
2065	Mark will not legitimize Lucy's child.	Mark got Lucy pregnant but he does not want a baby.	origin	0	1_rare	64	7.6	4.066666666666666	6.066666666666666	1.6666666666666667	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Mark will not legitimize Lucy's child, so Mark got Lucy pregnant but he does not want a baby.	A,B	Causal	so
2066	Mark will not legitimize Lucy's child.	Mark got Lucy pregnant but he does not want a baby.	origin	0	1_rare	64	7.6	4.066666666666666	6.066666666666666	1.6666666666666667	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Mark will not legitimize Lucy's child, after Mark got Lucy pregnant but he does not want a baby.	B,A	Temporal	after
2067	Mark will not legitimize Lucy's child.	Mark got Lucy pregnant but he does not want a baby.	origin	0	1_rare	64	7.6	4.066666666666666	6.066666666666666	1.6666666666666667	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Mark will not legitimize Lucy's child, then Mark got Lucy pregnant but he does not want a baby.	A,B	Temporal	then
2080	The student felt anxious to take the exam.	The student took drugs to calm down.	origin	7	2_uncommon	65	3.466666666666667	8.933333333333334	4.8	7.4	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	The student felt anxious to take the exam, after the student took drugs to calm down.	B,A	Temporal	after
2081	The student felt anxious to take the exam.	The student took drugs to calm down.	origin	7	2_uncommon	65	3.466666666666667	8.933333333333334	4.8	7.4	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	The student felt anxious to take the exam, so the student took drugs to calm down.	A,B	Causal	so
2082	The student felt anxious to take the exam.	The student took drugs to calm down.	origin	7	2_uncommon	65	3.466666666666667	8.933333333333334	4.8	7.4	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	The student felt anxious to take the exam, because the student took drugs to calm down.	B,A	Causal	because
2083	The student felt anxious to take the exam.	The student took drugs to calm down.	origin	7	2_uncommon	65	3.466666666666667	8.933333333333334	4.8	7.4	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	The student felt anxious to take the exam, then the student took drugs to calm down.	A,B	Temporal	then
2096	The student took drugs to calm down.	The student felt anxious to take the exam.	origin	10	2_uncommon	65	9.133333333333333	1.7333333333333334	7.533333333333333	4.266666666666667	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	The student took drugs to calm down, after the student felt anxious to take the exam.	B,A	Temporal	after
2097	The student took drugs to calm down.	The student felt anxious to take the exam.	origin	10	2_uncommon	65	9.133333333333333	1.7333333333333334	7.533333333333333	4.266666666666667	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	The student took drugs to calm down, then the student felt anxious to take the exam.	A,B	Temporal	then
2098	The student took drugs to calm down.	The student felt anxious to take the exam.	origin	10	2_uncommon	65	9.133333333333333	1.7333333333333334	7.533333333333333	4.266666666666667	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	The student took drugs to calm down, because the student felt anxious to take the exam.	B,A	Causal	because
2099	The student took drugs to calm down.	The student felt anxious to take the exam.	origin	10	2_uncommon	65	9.133333333333333	1.7333333333333334	7.533333333333333	4.266666666666667	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	The student took drugs to calm down, so the student felt anxious to take the exam.	A,B	Causal	so
2112	Karen is envious of Silvia's boyfriend.	Karen tried to steal Silvia's boyfriend.	origin	0	1_rare	66	4.466666666666667	7.933333333333334	3.4	6.066666666666666	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Karen is envious of Silvia's boyfriend, after Karen tried to steal Silvia's boyfriend.	B,A	Temporal	after
2113	Karen is envious of Silvia's boyfriend.	Karen tried to steal Silvia's boyfriend.	origin	0	1_rare	66	4.466666666666667	7.933333333333334	3.4	6.066666666666666	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Karen is envious of Silvia's boyfriend, then Karen tried to steal Silvia's boyfriend.	A,B	Temporal	then
2114	Karen is envious of Silvia's boyfriend.	Karen tried to steal Silvia's boyfriend.	origin	0	1_rare	66	4.466666666666667	7.933333333333334	3.4	6.066666666666666	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Karen is envious of Silvia's boyfriend, so Karen tried to steal Silvia's boyfriend.	A,B	Causal	so
2115	Karen is envious of Silvia's boyfriend.	Karen tried to steal Silvia's boyfriend.	origin	0	1_rare	66	4.466666666666667	7.933333333333334	3.4	6.066666666666666	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Karen is envious of Silvia's boyfriend, because Karen tried to steal Silvia's boyfriend.	B,A	Causal	because
2128	Karen tried to steal Silvia's boyfriend.	Karen is envious of Silvia's boyfriend.	origin	0	1_rare	66	6.8	3.933333333333333	3.4	2.333333333333333	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Karen tried to steal Silvia's boyfriend, because Karen is envious of Silvia's boyfriend.	B,A	Causal	because
2129	Karen tried to steal Silvia's boyfriend.	Karen is envious of Silvia's boyfriend.	origin	0	1_rare	66	6.8	3.933333333333333	3.4	2.333333333333333	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Karen tried to steal Silvia's boyfriend, then Karen is envious of Silvia's boyfriend.	A,B	Temporal	then
2130	Karen tried to steal Silvia's boyfriend.	Karen is envious of Silvia's boyfriend.	origin	0	1_rare	66	6.8	3.933333333333333	3.4	2.333333333333333	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Karen tried to steal Silvia's boyfriend, so Karen is envious of Silvia's boyfriend.	A,B	Causal	so
2131	Karen tried to steal Silvia's boyfriend.	Karen is envious of Silvia's boyfriend.	origin	0	1_rare	66	6.8	3.933333333333333	3.4	2.333333333333333	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Karen tried to steal Silvia's boyfriend, after Karen is envious of Silvia's boyfriend.	B,A	Temporal	after
2144	Kevin drinks to forget.	Kevin was left by his wife.	origin	0	1_rare	67	8.333333333333334	4.866666666666666	6.533333333333333	3.4	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Kevin drinks to forget, so Kevin was left by his wife.	A,B	Causal	so
2145	Kevin drinks to forget.	Kevin was left by his wife.	origin	0	1_rare	67	8.333333333333334	4.866666666666666	6.533333333333333	3.4	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Kevin drinks to forget, because Kevin was left by his wife.	B,A	Causal	because
2146	Kevin drinks to forget.	Kevin was left by his wife.	origin	0	1_rare	67	8.333333333333334	4.866666666666666	6.533333333333333	3.4	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Kevin drinks to forget, after Kevin was left by his wife.	B,A	Temporal	after
2147	Kevin drinks to forget.	Kevin was left by his wife.	origin	0	1_rare	67	8.333333333333334	4.866666666666666	6.533333333333333	3.4	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Kevin drinks to forget, then Kevin was left by his wife.	A,B	Temporal	then
2160	Kevin was left by his wife.	Kevin drinks to forget.	origin	0	1_rare	67	5.8	8.266666666666667	4.6	6.066666666666666	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Kevin was left by his wife, after Kevin drinks to forget.	B,A	Temporal	after
2161	Kevin was left by his wife.	Kevin drinks to forget.	origin	0	1_rare	67	5.8	8.266666666666667	4.6	6.066666666666666	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Kevin was left by his wife, then Kevin drinks to forget.	A,B	Temporal	then
2162	Kevin was left by his wife.	Kevin drinks to forget.	origin	0	1_rare	67	5.8	8.266666666666667	4.6	6.066666666666666	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Kevin was left by his wife, because Kevin drinks to forget.	B,A	Causal	because
2163	Kevin was left by his wife.	Kevin drinks to forget.	origin	0	1_rare	67	5.8	8.266666666666667	4.6	6.066666666666666	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Kevin was left by his wife, so Kevin drinks to forget.	A,B	Causal	so
